gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets,ticker,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
1690,AAPL,143566.0,352583.0,10959.0,61555.0,205637.0,96995.0,113736.0,383285.0,19765.0,601.0,0.0,-3024.0,16741.0,California,0.14719174228036858,0.0,0.0,AAPL,15741,CEO,0.0,0.0,0.0,2526.112,3000.0,46970.283,93202.615,63209.845,63209.845,63209.845,0.7430849260902317,0.0
1704,AMAT,19147.0,30729.0,1106.0,6869.0,13618.0,6856.0,7716.0,26517.0,1218.0,10.0,24.0,-358.0,860.0,California,0.11145671332296526,0.003110419906687403,0.0007810211851996485,AMAT,46415,CEO,0.0,0.0,0.0,241.976,1030.0,23951.048,10239.431,26854.544,26854.544,26854.544,0.8918806441099874,0.0
1706,EPAC,355.64,762.597,9.4,154.415,290.479,53.649,68.898,598.204,14.74,5.667,0.46,0.509,15.249,Wisconsin,0.2213271793085431,0.0066765363290661565,0.0006032019533252819,EPAC,68682,CEO,0.0,0.0,0.0,367.676,774.519,6999.985,7323.764,9608.505,9608.505,9608.505,0.7285196812615491,0.0
1743,ARCB,884.783,2485.094,231.998,330.068,4103.686,142.164,186.915,4427.443,50.317,55.785,-5.566,-5.566,44.751,Arkansas,0.2394189872401894,-0.029778241446646873,-0.0022397543111045293,ARCB,32141,CEO,0.0,0.0,0.0,66.687,900.0,1227.732,1681.978,5077.912,5077.912,6315.108,0.24177890440007624,0.0
1794,ASH,1506.0,5939.0,170.0,494.0,1371.0,168.0,160.0,2191.0,24.0,148.0,-32.0,-32.0,-8.0,Delaware,-0.05,-0.2,-0.005388112476847954,ASH,64672,CEO,0.0,0.0,0.0,286.649,1114.805,5454.895,6029.863,6957.914,6957.914,6957.914,0.7839842516018452,0.0
1864,REX,372.644,579.579,15.578,282.678,782.293,27.697,47.479,855.0,8.652,1.097,0.915,0.89,9.542,Ohio,0.20097306177467933,0.019271678005012744,0.0015787321486803354,REX,51309,CEO,0.0,0.0,0.0,0.2,275.0,2617.799,3081.361,6063.247,6063.247,6063.247,0.43174869834595225,0.0
1878,ADSK,3341.0,9438.0,40.0,2072.0,372.0,823.0,946.0,5005.0,398.0,32.0,-277.0,-275.0,123.0,California,0.13002114164904863,-0.2928118393234672,-0.02934943844034753,ADSK,53144,CEO,0.0,0.0,0.0,153.256,1046.066,17938.989,14899.155,13061.328,13061.328,20649.951,1.373442960777036,0.0
1891,ADP,42170.6,50971.0,206.3,2098.2,9404.1,3412.0,4437.6,18012.2,1105.7,73.6,-80.1,-80.1,1025.6,New Jersey,0.2311159185145123,-0.018050297458085448,-0.0015714818229973905,ADP,62304,CEO,0.0,2449.962,2586.426,315.685,966.0,7304.354,2015.474,10680.439,13130.401,10682.318,0.6839001655269039,0.22938776205734615
1926,AZZ,417.416,2221.479,57.12,2.82,971.169,66.339,88.675,1323.649,6.197,40.536,7.007,16.139,22.336,Texas,0.2518861009303637,0.07901888920214266,0.0031542049238367773,AZZ,49446,CEO,0.0,0.0,0.0,33.829,940.256,2172.335,6338.768,4380.976,4380.976,4380.976,0.4958564027741764,0.0
1968,BMI,442.177,716.919,12.003,191.782,404.317,92.598,121.966,703.592,39.018,5.061,-9.65,-9.65,29.368,Wisconsin,0.24078841644392698,-0.07912041060623454,-0.013460376974246744,BMI,56534,CEO,0.0,0.0,0.0,1734.305,750.0,1962.621,0.0,2484.305,2484.305,4544.288,0.7900080706676516,0.0
