ticker,gvkey,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
NDSN,7921,62887,CEO,0.0,0.0,689.75,109.219,975.0,3186.853,538.49,6538.129,4525.337,7058.392,0.4874258369634493,0.0
JWN,7922,16523,CEO,0.0,0.0,0.0,50.629,773.087,1592.845,0.0,2947.517,1885.616,4540.362,0.540402311504904,0.0
NSC,7923,54153,CEO,0.0,0.0,0.0,147.067,1100.0,7500.059,3268.899,9747.177,7246.905,13418.978,0.7694596086641291,0.0
NC,7938,46727,CEO,171.308,0.0,0.0,226.7,871.544,1368.515,0.0,4304.928,4304.928,4304.928,0.31789497989281124,0.0
MOV,7951,33385,CEO,0.0,0.0,0.0,340.425,1251.001,3500.004,2579.916,5091.43,5091.43,5091.43,0.6874304468489206,0.0
ES,7970,54155,CEO,0.0,0.0,0.0,79.708,1325.001,8018.396,2374.981,11053.105,11053.105,18885.577,0.7254428506740866,0.0
NI,7974,69213,CEO,0.0,0.0,0.0,466.591,1041.667,5208.422,964.057,4008.258,4008.258,9216.68,1.299422841543633,0.0
XEL,7977,54649,CEO,0.0,0.0,0.0,70.78,1300.0,18000.011,12405.584,21181.951,21181.951,21357.168,0.8497805985860319,0.0
NTRS,7982,45250,CEO,0.0,1295.482,0.0,35.891,1000.0,8500.15,5624.686,10036.041,11331.523,10174.76,0.8469624625885845,0.12908297206039712
NOC,7985,52538,CEO,0.0,0.0,0.0,718.099,1730.769,16000.44,17418.553,23532.183,23532.183,24737.493,0.6799386185293561,0.0
TEX,7991,52539,CEO,0.0,0.0,0.0,424.016,1051.923,6543.682,2874.204,10208.43,10208.43,10208.43,0.6410076769885281,0.0
NWN,7993,31068,CEO,328.145,0.0,0.0,50.124,830.0,1449.015,360.701,3133.139,3133.139,3537.654,0.46248027936200725,0.0
NWE,8001,29517,CEO,0.0,0.0,0.0,65.464,794.519,1600.0,1536.216,3075.962,3075.962,3110.602,0.5201624727483629,0.0
WFC,8007,63234,CEO,0.0,0.0,0.0,207.03,2500.0,16634.168,10404.333,15154.002,15154.002,25966.198,1.0976749244193054,0.0
NUE,8030,63620,CEO,0.0,942.89,1446.341,1985.095,1500.0,12203.031,18081.364,18000.644,17193.534,22500.626,0.6779219121271439,0.0523809037054452
OXY,8068,50088,CEO,0.0,0.0,2814.859,684.214,1472.603,12028.476,8198.004,17560.293,17560.293,17735.019,0.6849815091354113,0.0
OII,8079,48773,CEO,0.0,0.0,0.0,456.103,800.0,1917.631,7517.032,7753.037,7753.037,7753.037,0.24733933296074817,0.0
VTOL,8092,66615,CEO,0.0,0.0,0.0,28.736,731.09,3047.755,3114.732,2044.486,2044.486,5092.241,1.490719427768153,0.0
FE,8099,71727,CEO,1500.0,0.0,0.0,185.087,876.923,22267.685,10221.762,26403.462,26403.462,26452.616,0.8433623211986369,0.0
OGE,8113,40694,CEO,0.0,0.0,0.0,154.25,1158.29,4533.361,1353.153,7331.498,7331.498,8435.166,0.6183403446335252,0.0
OLN,8123,65264,CEO,0.0,0.0,3053.203,266.703,1250.0,4754.436,26975.0,11982.531,7436.639,11982.531,0.39678061337792486,0.0
OKE,8151,40699,CEO,0.0,0.0,0.0,336.989,835.0,6274.485,4332.49,8547.559,8547.559,9547.574,0.7340674688528035,0.0
OTTR,8199,68884,CEO,141.05,0.0,0.0,715.385,806.0,2605.539,2062.647,5671.757,5671.757,5823.726,0.45938833416170693,0.0
OSG,8210,54657,CEO,339.3,0.0,0.0,22.81,446.25,1227.188,4051.182,3223.495,3223.495,2872.267,0.38070107135267783,0.0
OMI,8213,63236,CEO,0.0,0.0,0.0,105.059,1000.0,5834.851,7068.948,8389.91,8389.91,8389.91,0.6954604995762768,0.0
OC,8214,52052,CEO,0.0,0.0,0.0,297.961,1200.0,7111.895,9511.474,11243.256,11243.256,11243.256,0.6325476356671058,0.0
OI,8215,50581,CEO,0.0,1468.686,0.0,475.492,1132.875,7654.43,6881.041,11395.876,12864.562,11779.768,0.671684212780132,0.1288787277081639
