gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets
1689,AEP1,1059.0,15711.9,1053.0,38.8,2617.8,294.4,308.6,3720.7,68.5,2011.9,-54.3,-54.3,14.2,Ohio,0.046014257939079706,-0.17595593000648085,-0.0034559792259370287
1690,AAPL,143566.0,352583.0,10959.0,61555.0,205637.0,96995.0,113736.0,383285.0,19765.0,601.0,0.0,-3024.0,16741.0,California,0.14719174228036858,0.0,0.0
1704,AMAT,19147.0,30729.0,1106.0,6869.0,13618.0,6856.0,7716.0,26517.0,1218.0,10.0,24.0,-358.0,860.0,California,0.11145671332296526,0.003110419906687403,0.0007810211851996485
1706,EPAC,355.64,762.597,9.4,154.415,290.479,53.649,68.898,598.204,14.74,5.667,0.46,0.509,15.249,Wisconsin,0.2213271793085431,0.0066765363290661565,0.0006032019533252819
1718,AOXY,0.106,0.698,0.0,0.105,0.028,0.002,0.01,0.039,0.008,0.0,0.0,0.0,0.008,Vermont,0.8,0.0,0.0
1742,PNW1,1850.388,24516.455,1864.615,4.549,3062.102,547.337,658.745,4695.991,27.432,2431.697,66.751,66.752,94.184,Arizona,0.14297489924022194,0.10133056038376004,0.0027227019567062204
1743,ARCB,884.783,2485.094,231.998,330.068,4103.686,142.164,186.915,4427.443,50.317,55.785,-5.566,-5.566,44.751,Arkansas,0.2394189872401894,-0.029778241446646873,-0.0022397543111045293
1794,ASH,1506.0,5939.0,170.0,494.0,1371.0,168.0,160.0,2191.0,24.0,148.0,-32.0,-32.0,-8.0,Delaware,-0.05,-0.2,-0.005388112476847954
1820,ALOT,79.762,139.207,0.229,3.946,90.455,2.661,3.41,142.527,2.085,0.167,-1.336,-1.336,0.749,Rhode Island,0.21964809384164222,-0.39178885630498533,-0.009597218530677338
1823,ATRO,389.782,633.792,7.643,11.313,542.31,-26.421,-26.311,689.206,-0.036,1.307,0.146,0.146,0.11,New York,-0.004180760898483524,-0.005549009919805404,0.00023035948702413407
1837,SO7,1486.0,25083.0,1561.0,35.0,3093.0,615.0,826.0,4702.0,86.0,1671.0,126.0,125.0,211.0,Georgia,0.25544794188861986,0.15254237288135594,0.005023322569070686
1864,REX,372.644,579.579,15.578,282.678,782.293,27.697,47.479,855.0,8.652,1.097,0.915,0.89,9.542,Ohio,0.20097306177467933,0.019271678005012744,0.0015787321486803354
1878,ADSK,3341.0,9438.0,40.0,2072.0,372.0,823.0,946.0,5005.0,398.0,32.0,-277.0,-275.0,123.0,California,0.13002114164904863,-0.2928118393234672,-0.02934943844034753
1891,ADP,42170.6,50971.0,206.3,2098.2,9404.1,3412.0,4437.6,18012.2,1105.7,73.6,-80.1,-80.1,1025.6,New Jersey,0.2311159185145123,-0.018050297458085448,-0.0015714818229973905
