gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
27945,12/31/2023,CSTR,,,3142.175,0.809,259.611,73.156,29.804,,2780.617,36.199,184.339,0,,0,0.088,,6.395,TN
27945,12/31/2023,CSTR,,,3142.175,,,,29.804,,2780.617,36.199,184.339,,,0,,,6.395,TN
27949,5/31/2023,NMT,,,,,,,,,,,,,,,,,,IL
27956,5/31/2023,NPV,,,,,,,,,,,,,,,,,,IL
27960,12/31/2023,ALG,803.957,,1409.386,37.745,51.919,1203.553,136.161,213.926,476.623,175.12,1689.651,5.558,43.212,16.1,-4.253,-4.253,38.959,TX
27965,3/31/2023,MCHP,3069.3,,16370.3,486.2,234,2480.3,2237.7,3118.6,9856.7,2909.7,8438.7,-28,466.5,42.7,205.5,205.5,672,AZ
27977,12/31/2023,BOC,131.388,,768.207,51.866,113.491,64.462,-7.004,51.386,151.755,-9.146,96.254,0,0.167,12.112,,-3.145,-2.978,NE
27978,12/31/2023,HGR.,,,,,,,,,,,,,,,,,,ON
27981,1/31/2023,CHS,515.363,,1187.841,41.989,178.054,1260.577,108.999,451.162,852.208,138.199,2142.02,0,29.63,,-0.391,-0.43,29.2,FL
27983,3/31/2023,AEMD,15.091,,17.509,0.943,14.533,12.232,-12.03,1.505,2.445,-12.03,0.574,0,0,0,0,0,0,CA
27994,12/31/2023,GBIL,,,,,,,,,,,,,,,,,,NY
28000,12/31/2023,MXU.,,,,,,,,,,,,,,,,,,ON
28007,12/31/2023,MWD.,,,,,,,,,,,,,,,,,,ON
28011,12/31/2023,MEU.,,,,,,,,,,,,,,,,,,ON
28012,12/31/2023,FLGT,507.845,,1235.328,22.207,424.154,166.459,-167.825,73.018,102.042,-174.085,289.213,0,-10.312,7.962,11.466,11.466,1.154,CA
28022,12/31/2023,BANF,,,12372.042,22.504,2398.779,206.938,212.465,,10938.151,269.948,809.344,0,,0,-2.787,,57.483,OK
28022,12/31/2023,BANF,,,12372.042,,,,212.465,,10938.151,269.948,809.344,,,0,,,57.483,OK
28027,12/31/2023,AMRN,724.981,,831.684,0.024,321.184,99.177,-59.112,259.277,279.587,-53.67,306.911,0,5.442,0,0,0,5.442,
28029,12/31/2023,SMMV,,,,,,,,,,,,,,,,,,CA
28034,12/31/2023,CB,,,230682,0,11901,40328,9028,,166991,9526,50217,0,,1555,-1124,-1084,511,
28034,12/31/2023,CB,,,230682,,,,9028,,166991,9526,50798,,1595,1555,,-1084,511,
28056,12/31/2023,ITHUF,45.509,,277.407,3.572,13.175,96.068,-76.621,125.431,339.073,-59.921,159.237,0,20.131,20.412,-3.431,-3.431,16.7,ON
28059,10/31/2023,TRZBF,1206.7,,2569.37,57.568,856.649,2771.396,-25.292,1264.432,3348.409,-24.679,3048.352,,,0.056,0.085,0.085,0.613,QC
28063,12/31/2023,BOTZ,,,,,,,,,,,,,,,,,,NY
28065,12/31/2023,FINX,,,,,,,,,,,,,,,,,,NY
28068,12/31/2023,SNSR,,,,,,,,,,,,,,,,,,NY
28069,12/31/2023,FBRT,,,5955.18,0,343.687,117.76,145.215,,4279.223,141.752,569.527,0,0.013,0,0,-2.77,-2.757,NY
28069,12/31/2023,FBRT,,15.383,5955.18,,,,145.215,,4279.223,141.752,566.688,,0.013,0,,-2.77,-2.757,NY
28070,12/31/2023,ASIX,419.804,,1496.02,107.377,29.768,1297.983,54.623,358.918,756.783,69.223,1533.599,8.003,23.913,151.059,-9.347,-9.313,14.6,NJ
28071,12/31/2023,DZSI,196.368,,249.381,1.574,20.761,196.785,-135.218,165.811,226.822,-134.439,244.541,,0.779,0,0,0,0.779,TX
28074,12/31/2023,EOSS,0.487,,0.497,0.002,0.014,0.102,-0.627,1.494,1.561,-0.632,0.297,-0.004,0,0,0,0,0,
28087,12/31/2023,MRAM,57.879,,67.303,1.404,36.946,25.315,9.052,8.778,13.382,9.036,63.765,0,0.134,0,0,-0.15,-0.016,AZ
28091,12/31/2023,POLA,21.989,,25.259,0.194,0.549,14.224,-6.548,10.214,12.07,-6.548,15.293,0,0,0,0,0,0,CA
28093,3/31/2023,ATXG,23.041,,41.303,0,18.282,5.965,1.32,3.526,17.181,1.342,7.944,0,0.022,0,0,0,0.022,
28094,12/31/2023,BSCQ,,,,,,,,,,,,,,,,,,IL
28096,12/31/2023,BSJO,,,,,,,,,,,,,,,,,,IL
28097,12/31/2023,IBDR,,,,,,,,,,,,,,,,,,CA
28099,12/31/2023,NUAG,,,,,,,,,,,,,,,,,,IL
28100,12/31/2023,FDVV,,,,,,,,,,,,,,,,,,MA
28101,12/31/2023,FDLO,,,,,,,,,,,,,,,,,,MA
28102,12/31/2023,FVAL,,,,,,,,,,,,,,,,,,MA
28103,12/31/2023,FDRR,,,,,,,,,,,,,,,,,,MA
28104,12/31/2023,FQAL,,,,,,,,,,,,,,,,,,MA
28105,12/31/2023,FDMO,,,,,,,,,,,,,,,,,,MA
28106,6/30/2023,TDSGF,2.843,,2.926,0.069,2.673,0,-2.821,0.28,0.313,-2.821,0,0,0,0,0,0,0,ON
28108,12/31/2023,BBHY,,,,,,,,,,,,,,,,,,NY
28113,12/31/2023,CRSP,1908.078,,2229.571,9.47,1693.692,573.907,-153.61,108.791,346.768,-150.722,371.206,,3.312,,,-0.424,2.888,
28118,12/31/2023,FOSL,710.69,,978.03,8.528,117.274,708.167,-157.088,342.477,726.292,-156.137,1412.384,,4.397,0.698,0,-3.875,0.522,TX
28131,10/31/2023,MVT,,,,,,,,,,,,,,,,,,NY
28132,12/31/2023,ISHP,,,,,,,,,,,,,,,,,,IL
28133,12/31/2023,FTXG,,,,,,,,,,,,,,,,,,IL
28134,12/31/2023,FTXH,,,,,,,,,,,,,,,,,,IL
28136,12/31/2023,FTXL,,,,,,,,,,,,,,,,,,IL
28139,9/30/2023,SANM,3879.57,,4873.968,191.367,667.57,8073.6,309.97,2033.332,2555.343,412.807,8935.048,0,56.896,2.696,28.753,28.398,85.294,CA
28141,12/31/2023,FTXN,,,,,,,,,,,,,,,,,,IL
28142,12/31/2023,FTXO,,,,,,,,,,,,,,,,,,IL
28148,12/31/2023,HSH.,,,,,,,,,,,,,,,,,,ON
28153,12/31/2023,RPF.,,,,,,,,,,,,,,,,,,ON
28155,12/31/2023,TCBK,,,9910.089,4.886,98.701,105.667,117.39,,8750.407,160.905,499.754,0,,0,-2.399,,43.515,CA
28155,12/31/2023,TCBK,,,9910.089,,,,117.39,,8750.407,160.905,499.754,,,0,,,43.515,CA
28163,12/31/2023,CWS,,,,,,,,,,,,,,,,,,MD
28167,12/31/2023,FTXR,,,,,,,,,,,,,,,,,,IL
28176,12/31/2023,ATR,1549.279,,4451.89,312.342,224.143,2224.051,284.487,1251.309,2130.592,374.825,3487.45,-8.301,110.532,19.016,-19.883,-19.883,90.649,IL
28180,12/31/2023,ORLY,5558.302,,13872.995,1006.264,279.132,7298.386,2346.581,7661.353,15612.273,3004.75,15812.25,33.889,609.937,295.471,48.232,48.232,658.169,MO
28191,12/31/2023,RCL,1792,,35131,3897,497,7781,1697,9401,30232,1710,13900,0,,0,-8,,6,FL
28192,12/31/2023,HWM,3316,,10428,219,610,4777,765,1784,6391,975,6640,-7,101,101,108,109,210,PA
28194,12/31/2023,AVNT,1407.6,,5968.5,119.4,545.8,1981.5,75.8,773.6,3630.5,87.3,3142.8,,,281.6,-61.3,-61.3,11,OH
28195,8/31/2023,JBL,14730,,19424,1030,1829,30944,818,12695,16557,1262,34702,0,353,268,85,91,444,FL
28209,12/31/2023,ANIK,163.309,,270.632,5.427,72.867,50.148,-82.667,31.059,58.367,-85.327,166.662,,3.774,0,-6.327,-6.434,-2.66,MA
28213,12/31/2023,INCE,,,,,,,,,,,,,,,,,,CA
28216,12/31/2023,RGA,,,97623,0,4787,17109,902,,88452,1160,18386,,,1862,211,211,251,MO
28216,12/31/2023,RGA,,,97623,,,,902,,88452,1160,18731,,40,1862,,211,251,MO
28226,12/31/2023,PSC,,,,,,,,,,,,,,,,,,IA
28228,12/31/2023,VRIG,,,,,,,,,,,,,,,,,,IL
28236,12/31/2023,GILT,240.573,,426.886,10.746,104.697,148.055,23.504,126.584,152.198,28.194,266.09,0,,0,2.662,2.31,4.69,
28262,12/31/2023,NTZ,165.504,,373.99,11.385,37.151,221.426,-17.762,170.956,292.981,-16.66,363.236,,,1.101,-0.701,-0.701,1.205,
28272,12/31/2023,AZN,25054,,101119,1361,5962,3106,5955,30542,61953,6899,45918,,,2844,-1507,-1507,938,
28278,12/31/2023,GABC,,,6152.198,5.745,115.83,68.773,85.888,,5488.64,103.647,316.917,0,,0,0,,17.759,IN
28278,12/31/2023,GABC,,,6152.198,,,,85.888,,5488.64,103.647,316.917,,,0,,,17.759,IN
28295,12/31/2023,TWI,876.781,,1289.245,60.799,220.251,1474.951,78.76,372.375,821.83,109.748,1821.8,0,28.123,2.234,-2.081,-2.081,26.042,IL
28302,5/31/2023,NOM,,,,,,,,,,,,,,,,,,IL
28308,4/30/2023,PMO,,,,,,,,,,,,,,,,,,MA
28309,12/31/2023,ECNCF,,,1284.833,19.407,23.273,124.596,-106.777,,1075.345,-101.65,158.77,0,,0,,7.662,5.127,ON
28309,12/31/2023,ECNCF,,29.351,1284.833,,,,-106.777,,1075.345,-101.65,158.77,,-2.535,0,,7.662,5.127,ON
28320,12/31/2023,CDW,6705,,13284.6,148.2,588.7,16452.6,1104.3,5442,11242.1,1450.2,21376,,378.6,171.4,-32.7,-32.7,345.9,IL
28322,12/31/2023,HR,,,12637.131,0,25.699,1386.058,-278.261,,5714.349,-282.083,1343.43,0,0,0,0,0,0,TN
28322,12/31/2023,HR,,,12637.131,,,,-278.261,,5714.349,-282.083,1423.937,,0,0,,0,0,TN
28323,12/31/2023,AKR,,,4291.154,0,25.294,248.146,19.873,,2157.598,-1.448,351.008,0,,0,0,,0.301,NY
28323,12/31/2023,AKR,,,4291.154,,,,19.873,,2157.598,-1.448,388.627,,,0,,,0.301,NY
28327,12/31/2023,OILK,,,,,,,,,,,,,,,,,,MD
28335,12/31/2023,ABFL,,,,,,,,,,,,,,,,,,FL
28336,3/31/2023,SPE,,,,,,,,,,,,,,,,,,NJ
28338,12/31/2023,RIG,2126,,20254,427,995,1986,-954,1397,9838,-941,2832,,,540,18,18,13,
28340,12/31/2023,SKT,,,2324.119,,,,99.151,,1732.806,103.882,484.885,,0,0,,0,0,NC
28340,12/31/2023,SKT,,,2324.119,0,21.965,254.436,99.151,,1732.806,103.882,482.376,0,0,0,0,0,0,NC
28347,12/31/2023,FTK,76.447,,157.513,1.081,5.953,164.322,24.713,47.782,55.553,24.862,188.058,-0.053,0.045,0,0.104,0.104,0.149,TX
28349,12/31/2023,ALL,,,103362,,,,-188,,85732,-348,57408,,114,0,,-249,-135,IL
28349,12/31/2023,ALL,,,103362,267,9240,56121,-188,,85732,-348,57094,0,,0,0,-249,-135,IL
28352,12/31/2023,FCEF,,,,,,,,,,,,,,,,,,IL
28355,3/31/2023,PTEEF,8.808,,16.128,0.286,0,14.183,-1.945,9.694,16.306,-2.254,19.943,,,0,-0.34,-0.34,-0.309,ON
28356,12/31/2023,MFLX,,,,,,,,,,,,,,,,,,IL
28365,12/31/2023,SNES,6.673,,7.293,0.149,5.395,0.654,-7.71,0.786,0.942,-7.71,1.193,0,0,0,0,0,0,AZ
28367,12/31/2023,IRTC,230.812,,433.144,40.424,133.764,144.527,-123.406,107.37,223.047,-122.656,492.681,,0.75,,0,0,0.75,CA
28370,12/31/2023,PLYA,,,1933.725,46.186,272.52,528.924,53.852,,1378.928,65.566,977.504,11.403,,64.815,-3.031,-3.031,11.714,
28372,12/31/2023,FDL.,,,,,,,,,,,,,,,,,,IL
28374,12/31/2023,LINK,9.328,,15.062,0.123,4.304,6.519,-0.383,1.375,2.034,-0.275,13.94,-0.265,0.191,0.626,-0.083,-0.083,0.108,CA
28378,3/31/2023,LGF.A,1118.4,,7426.2,49,300,2324.1,-2010.2,2570.7,6296.6,-1997.5,3854.8,0,26.6,31.8,-5.3,-5.3,21.3,CA
28380,12/31/2023,OFIX,420.443,,925.315,60.256,45.826,181.204,-151.395,165.223,326.585,-148.679,746.641,0,,4.17,0.579,0.579,2.716,TX
28384,12/31/2023,SPNS,314.903,,689.624,2.574,202.116,277.954,62.444,149.124,239.677,77.118,514.584,0,,10.82,-3.003,-3.006,14.251,
28385,12/31/2023,SNT,34.339,,50.266,0.38,14.928,13.027,-1.289,10.064,13.074,-1.329,32.792,,,0.606,0.218,0.199,-0.04,ON
28394,12/31/2023,COFE,0.573,,0.573,0,0.2,0,-1.318,16.097,16.097,-1.318,0,0,0,0,0,0,0,IL
28397,12/31/2023,PZZA,231.018,,875.005,76.62,40.587,1723.914,82.098,304.596,1317.77,103.673,2135.713,9.087,26.865,0,-5.991,-5.991,20.874,KY
28399,12/31/2023,TGAFF,466.63,,624.29,4.746,152.76,1468.996,61.301,131.653,228.872,76.685,1679.667,,,5.096,1.159,1.159,15.384,BC
28401,5/31/2023,SVMB,3.118,,12.877,3.802,0.494,3.199,-6.395,3.902,36.765,-6.783,3.723,,,0,0,,0.001,
28404,10/31/2023,VCV,,,,,,,,,,,,,,,,,,GA
28406,10/31/2023,VPV,,,,,,,,,,,,,,,,,,GA
28408,12/31/2023,THRM,687.564,,1234.371,37.602,149.673,1060.912,40.343,324.953,589.649,54.954,1469.076,,27.683,18.232,-13.072,-13.072,14.611,MI
28410,12/31/2023,BBSI,447.502,,721.538,11.827,249.665,826.775,50.612,343.252,522.398,68.988,1069.307,,13.75,0,4.626,4.626,18.376,WA
28412,12/31/2023,FLCO,,,,,,,,,,,,,,,,,,CA
28420,12/31/2023,BL,1407.324,,2100.765,5.953,1204.472,104.386,52.833,642.565,1809.821,60.509,589.996,,2.975,6.394,-1.525,-1.525,1.45,CA
28423,12/31/2023,ZTO,3801.268,,12476.279,920.763,2887.608,3367.97,1233.875,2829.235,3974.913,1508.045,5418.232,15.387,,90.006,22.252,22.252,273.401,
28436,12/31/2023,ICLO,,,,,,,,,,,,,,,,,,IL
28456,12/31/2023,SUBCY,2864.9,,8095.5,581.2,758.3,5090,15.4,2616.1,3738.4,80,5973.7,,,43.2,-25.2,-25.2,70,
28473,8/31/2023,NMS,,,,,,,,,,,,,,,,,,IL
28475,12/31/2023,GDS,1549.028,,10499.241,849.261,1093.386,664.653,-605.027,1171.324,7661.175,-606.454,1394.198,,39.651,180.869,-41.735,-41.735,-2.084,
28485,12/31/2023,CIGI,1946.936,751.649,7239.78,,,,86.557,1903.288,4700.823,280.997,5732.871,,103.022,57.039,,-13.106,89.916,ON
28485,12/31/2023,CIGI,1474.264,,5482.126,84.524,242.596,2596.823,65.543,1441.213,3559.57,212.777,4335.141,,,43.191,-9.924,-9.924,68.086,ON
28490,12/31/2023,WAYN,,,809.947,,,,7.833,,756.98,9.838,38.112,,,0,,,2.005,OH
28490,12/31/2023,WAYN,,,809.947,0.228,20.884,13.45,7.833,,756.98,9.838,38.112,0,,0,-0.355,,2.005,OH
28499,12/31/2023,YUMC,3431,,12031,710,2600,8765,827,2422,4912,1230,10978,25,339,390,-10,-10,329,
28515,12/31/2023,GRWG,147.451,,239.09,6.698,64.969,164.624,-46.496,30.93,65.695,-46.464,225.882,0,0.032,0,0,0,0.032,CO
28520,12/31/2023,YPF,4434,,25035,5673,1387,13016,-1312,4920,15984,-257,17311,,,1242,975,975,1020,
28525,12/31/2023,BCTF,,,581.265,0.226,28.897,17.172,-3.402,,520.544,-3.855,28.78,0,,0,-0.278,,-0.453,AZ
28525,12/31/2023,BCTF,,,581.265,,,,-3.402,,520.544,-3.855,28.78,,,0,,,-0.453,AZ
28535,12/31/2023,SIM,2468.789,,3950.686,147.449,1395.083,1778.426,253.347,767.267,1004.545,355.753,2433.509,,100.253,226.182,2.673,2.673,102.926,
28551,12/31/2023,IPM,14.766,,23.887,0,13.568,3.238,-1.067,3.138,3.752,-1.088,10.98,0,0.082,0.614,-0.123,-0.103,-0.021,NY
28554,12/31/2023,CRTG,0.657,,1.761,0.053,0.524,0,-2.308,0.647,1.651,-2.308,0,0,0,0,0,0,0,MI
28555,8/31/2023,CGEAF,556.392,,9768.37,802.83,362.921,1563.062,392.273,509.906,6332.592,512.733,2984.128,,,829.615,62.694,62.694,94.761,QC
28590,12/31/2023,BCO,2788.3,,6601.8,202.7,1176.6,3431.3,86,1944.1,6081.6,235.8,4874.6,,116.5,56.5,22.7,22.7,139.2,VA
28604,12/31/2023,BUFF,,,,,,,,,,,,,,,,,,IL
28605,12/31/2023,MSD,,,,,,,,,,,,,,,,,,NY
28606,5/31/2023,MUA,,,,,,,,,,,,,,,,,,NY
28620,12/31/2023,PFC,,,8625.949,,,,111.295,,7650.322,139.477,420.063,,,0,,,28.182,OH
28620,12/31/2023,PFC,,,8625.949,7.113,114.756,153.651,111.295,,7650.322,139.477,420.063,0,,0,-2.934,,28.182,OH
28629,12/31/2023,CPT,,,9383.737,0,268.047,1159.156,403.309,,4331.966,414.203,1546.357,0,,,0,,3.65,TX
28629,12/31/2023,CPT,,,9383.737,,,,403.309,,4331.966,414.203,1807.406,,,0,,,3.65,TX
28646,12/31/2023,ISENF,55.261,,347.198,10.03,54.069,0,-18.689,3.617,44.177,-20.541,0,0,0,0.814,-1.852,-1.852,-1.852,ON
28654,3/31/2023,AWF,,,,,,,,,,,,,,,,,,TN
28661,11/30/2023,RHUHF,859.468,,1314.963,42.093,46.327,1557.35,111.474,237.704,406.806,156.197,1787.754,,,11.169,-0.121,-0.121,42.37,QC
28670,12/31/2023,IIPR,,,2391.09,,,,165.588,,438.118,165.588,318.579,,0,0,,0,0,UT
28670,12/31/2023,IIPR,,,2391.09,0,163.647,92.087,165.588,,438.118,165.588,317.952,0,0,0,0,0,0,UT
28675,12/31/2023,TLF,51.252,,72.135,0.576,12.159,29.867,3.768,8.933,15.789,4.545,76.229,,1.175,0.009,-0.902,-0.364,0.777,TX
28704,12/31/2023,MCRI,74.966,,680.873,49.005,43.361,232.303,82.448,123.367,167.733,108.527,501.478,0,26.011,23.084,0.068,0.068,26.079,NV
28717,12/31/2023,INOD,32.077,,59.431,5.564,13.82,50.039,-0.908,22.935,34.436,0.139,86.775,0.605,1.304,0.022,-0.276,-0.276,1.028,NJ
28719,12/31/2023,CNDT,1655,,3162,51,519,2905,-296,868,2387,-332,3722,,18,30,-54,-54,-36,NJ
28721,12/31/2023,EEMX,,,,,,,,,,,,,,,,,,MA
28722,12/31/2023,EFAX,,,,,,,,,,,,,,,,,,MA
28724,12/31/2023,BLDP,864.741,,1077.542,41.214,753.243,119.988,-144.21,70.586,86.326,-144.052,102.368,,,0,0,0,0.158,BC
28733,12/31/2023,EQR,,65.716,20034.564,,,,835.438,,8456.188,869.636,3184.715,,,0,,0,1.148,IL
28733,12/31/2023,EQR,,,20034.564,1.851,80.32,1935.202,835.438,,8456.188,869.636,2889.876,0,1.148,0,0,0,1.148,IL
28742,12/31/2023,BWA,6217,,14453,832,1534,11048,632,3767,8387,991,14198,,349,160,-44,-60,289,MI
28749,12/31/2023,FLL,84.639,,688.457,148.585,73.794,109.639,-24.904,78.552,610.609,-23.755,241.06,0.489,0.489,1.684,0.66,0.66,1.149,NV
28761,12/31/2023,BNC.,,,,,,,,,,,,,,,,,,ON
28762,12/31/2023,SPTN,1077.489,,2355.575,120.33,17.964,8243.663,52.237,659.896,1577.393,70.125,9729.219,0,9.659,73.904,8.229,8.229,17.888,MI
28769,12/31/2023,BFS,,,1994.137,,,,52.689,,1489.708,69.026,277.021,,0,0,,0,0,MD
28769,12/31/2023,BFS,,,1994.137,0,8.407,115.569,52.689,,1489.708,69.026,257.502,0,0,0,0,0,0,MD
28771,12/31/2023,PRP.,,,,,,,,,,,,,,,,,,ON
28785,12/31/2023,WINA,16.747,,28.968,0.384,13.387,4.088,40.178,10.461,88.124,51.361,83.244,,11.695,0,-0.512,-0.512,11.183,MN
28787,6/30/2023,PFGC,6071.5,,12499,269.7,12.7,46918.8,397.2,3553.1,8753.5,544,53354.7,0,126.8,446.2,20,20,146.8,VA
28790,5/31/2023,LW,2127.2,,6519.8,654,304.8,3673.2,1008.9,1360.2,5108.5,1233.5,5350.6,,224.2,252.1,0.4,0.4,224.6,ID
28791,12/31/2023,ROYL,9.67,,12.915,5.451,5.528,3.354,-1.832,16.854,24.099,-1.832,2.161,0,0,0,0,0,0,CA
28796,12/31/2023,THRSF,7.42,,22.261,0.891,4.194,3.605,0.609,14.046,18,2.886,15.485,,1.277,0.685,0.268,0.268,1.545,
28800,12/31/2023,PCM,,,,,,,,,,,,,,,,,,CA
28806,9/30/2023,ARWR,419.521,,765.552,176.737,403.626,433.244,-205.275,105.456,478.39,-206.491,240.735,0,2.784,0,0,0,2.784,CA
28818,12/31/2023,ACSI,,,,,,,,,,,,,,,,,,WI
28819,12/31/2023,FTEK,38.321,,50.388,0.418,29.714,15.425,-1.538,5.688,6.674,-1.469,27.081,0,0.074,0.172,-0.005,-0.005,0.069,IL
28844,12/31/2023,KOF,4006.904,,16179.52,1160.167,1855.274,7344.965,1155.612,3248.445,8270.472,1715.85,14497.683,,,196.447,69.623,69.623,519.422,
28852,12/31/2023,JAGGF,46.027,,309.119,36.726,22.938,75.467,15.854,33.411,68.846,14.859,136.528,,,0,-5.8,-5.8,-0.995,ON
28854,12/31/2023,RFI,,,,,,,,,,,,,,,,,,NY
28862,9/30/2023,CLNFF,264.544,,585.723,8.354,33.734,454.371,18.885,195.136,257.351,29.961,658.583,,,12.031,-1.843,-1.843,11.076,ON
28864,12/31/2023,CWEB,,,,,,,,,,,,,,,,,,NY
28866,9/30/2023,CASH,,,7535.543,,,,163.615,,6884.918,182.131,705.334,,,0,,,16.324,SD
28866,9/30/2023,CASH,,,7535.543,449.906,375.58,68.228,163.615,,6884.918,182.131,705.334,0,,0,-0.175,,16.324,SD
28877,12/31/2023,KDP,3375,,52130,425,267,6503,2181,8916,26454,2757,14814,,580,5760,-4,-4,576,MA
28880,12/31/2023,GVIP,,,,,,,,,,,,,,,,,,NY
28883,12/31/2023,SQM,5866.141,,10778.837,1103.598,2358.166,4117.37,923.191,2513.876,6301.408,2807.018,7467.49,,,394.688,,346.391,1876.751,
28896,12/31/2023,IMTB,,,,,,,,,,,,,,,,,,CA
28903,12/31/2023,EFXT,1433.691,,3911.98,142.978,140.514,2314.895,-110.924,1146.628,2517.958,-68.528,3162.095,-0.556,,86.502,-10.863,-10.863,42.396,AB
28911,12/31/2023,TEI,,,,,,,,,,,,,,,,,,CA
28927,12/31/2023,RESD,,,,,,,,,,,,,,,,,,NY
28930,12/31/2023,MAR,3311,,25674,452,338,19414,3083,7762,26356,3378,23713,0,838,209,0,-543,295,MD
28940,12/31/2023,BDC,1456.979,,3240.191,116.731,597.044,1494.307,242.759,633.504,2073.889,285.756,2512.084,,56.157,49.472,-12.957,-12.957,43.2,MO
28967,12/31/2023,QCRH,,,8538.894,14.945,237.492,208.943,113.558,,7652.298,126.62,546.094,0,,0,-0.946,,13.062,IL
28967,12/31/2023,QCRH,,,8538.894,,,,113.558,,7652.298,126.62,546.094,,,0,,,13.062,IL
29004,9/30/2023,VREX,658.3,,1249.6,20.7,194.9,576.3,48.2,162.8,668.6,31.3,893.4,,22.7,0,-39.5,-40.1,-17.4,UT
29006,10/31/2023,VKI,,,,,,,,,,,,,,,,,,GA
29011,12/31/2023,BYD,529.315,,6273.126,373.95,308.63,1979.332,620.023,596.322,4529.024,752.907,3738.492,,163.663,288.826,-29.842,-30.779,132.884,NV
29013,12/31/2023,CKPT,5.378,,5.378,0,4.928,52.251,-51.847,18.425,18.425,-51.847,0.103,0,0,0,0,0,0,MA
29015,3/31/2023,DECK,1910.253,,2556.203,81.025,981.795,1801.403,516.822,497.38,790.47,666.082,3627.286,4.897,158.979,0,-9.719,-9.719,149.26,CA
29016,12/31/2023,GECC,,,246.825,0,11.76,11.541,25.333,,148.086,25.333,35.825,0,0,0,0,0,0,FL
29028,8/31/2023,COST,35879,,68994,4323,15234,210509,6292,33583,43936,8487,242290,0,2162,795,0,33,2195,WA
29052,12/31/2023,LXP,,,4192.775,0,329.603,258.408,30.383,,1927.318,36.626,341.869,,0.774,0,0,-0.071,0.703,NY
29052,12/31/2023,LXP,,,4192.775,,,,30.383,,1927.318,36.626,388.92,,0.774,0,,-0.071,0.703,NY
29061,3/31/2023,RVSB,,,1589.712,4.964,22.293,4.81,18.069,,1434.473,23.679,67.86,0,,0,-0.144,,5.61,WA
29061,3/31/2023,RVSB,,,1589.712,,,,18.069,,1434.473,23.679,67.86,,,0,,,5.61,WA
29064,12/31/2023,AREN,90.399,,188.878,3.773,9.284,133.458,-55.582,236.021,247.705,-55.36,244.203,0,0.088,0.599,0.134,0.134,0.222,NY
29071,9/30/2023,GSHN,0.104,,0.224,0.003,0.058,0.015,-3.208,13.977,13.977,-3.293,0.024,,0,0,0,0,0,
29072,12/31/2023,BUFR,,,,,,,,,,,,,,,,,,IL
29082,12/31/2023,CBL,,,2405.905,,,,6.546,,2075.288,4.098,565.928,,2.177,0,,-1.283,0.894,TN
29082,12/31/2023,CBL,,,2405.905,0,123.076,377.865,6.546,,2075.288,4.098,560.35,0,,0,-1.283,1.283,0.894,TN
29086,6/30/2023,PTN,16.322,,17.939,0.434,10.983,0.13,-27.542,15.132,17.805,-32.217,4.854,0,,0,0,,-4.675,NJ
29089,12/31/2023,QMCI,1.735,,7.176,0.082,0.342,6.617,0.362,3.873,5.053,0.365,18.908,0,,0,0,,0.003,AZ
29099,12/31/2023,REG,,,12426.913,0,123.206,750.995,364.557,,5234.978,371.762,1374.972,0,,,0,0.099,0.895,FL
29099,12/31/2023,REG,,,12426.913,,,,364.557,,5234.978,371.762,1386.993,,0.796,0,,0.099,0.895,FL
29101,12/31/2023,FFIN,,,13105.594,,,,198.977,,11606.694,243.299,636.073,,,0,,,44.322,TX
29101,12/31/2023,FFIN,,,13105.594,17.251,536.591,154.892,198.977,,11606.694,243.299,636.073,,,0,-0.359,,44.322,TX
29108,12/31/2023,PTEN,1485.698,,7420.031,615.69,192.68,2811.319,246.292,1050.435,2599.35,307.104,4146.456,,8.58,248.107,51.866,52.572,61.152,TX
29111,12/31/2023,IPOOF,33.053,,472.956,84.793,0,56.15,32.702,35.64,178.604,33.967,158.82,0,0,0,1.265,1.265,1.265,AB
29126,7/31/2023,XTRAF,11.804,,18.999,0.033,8.327,7.6,-16.336,4.132,4.256,-16.336,4.111,0,0,0,0,0,0,ON
29127,12/31/2023,INCY,4645.402,,6782.107,32.486,3656.043,174.435,597.599,1240.379,1592.27,834.215,3695.649,,395.514,0,-158.898,-158.898,236.616,DE
29131,12/31/2023,ROCK,462.251,,1256.451,13.906,99.426,975.746,110.533,225.578,341.453,148.992,1377.736,0,27.659,57.103,10.8,10.8,38.459,NY
29133,12/31/2023,ITRI,1049.438,,2604.263,26.884,302.049,1422.88,96.923,537.236,1272.832,127.386,2173.633,,63.713,0.697,-34.646,-35.117,29.068,WA
29135,12/31/2023,BTE,440.024,,7460.931,1056.117,55.815,1756.308,-233.356,558.023,3635.844,-516.582,2712.829,0,,21.333,-297.629,-297.629,-283.226,AB
29140,12/31/2023,EFAS,,,,,,,,,,,,,,,,,,NY
29150,1/31/2023,URBN,1237.719,,3682.912,199.513,382.638,3263.784,159.699,890.374,1890.229,221.279,4795.244,,64.157,0,-2.577,-2.577,61.58,PA
29151,12/31/2023,CNTY,207.017,,1359.662,59.621,171.327,307.393,-28.198,93.619,1145.221,-23.832,550.206,,,1.364,-23.516,-23.516,-5.343,CO
29155,12/31/2023,CARS,178.438,,1172.449,20.882,39.198,221.789,118.442,145.748,680.341,18.105,689.183,0,14.161,8.757,-114.498,-114.498,-100.337,IL
